conjecture,run,T,c,s,mean_tau_counterfactual,sd_tau_counterfactual,frac_action1_counterfactual,n_actual_context,mean_tau_actual,sd_tau_actual,frac_action1_actual,obs_count,obs_freq,frac_action1_observed,regret_always1_observed,regret_always0_observed
conj1,10,11,0,0,0.376966,0.968071,0.64,53,0.261416,0.934681,0.603774,310,0.281818,0.587097,0.325368,0.498516
conj1,10,11,0,1,0.56632,1.42949,0.65,53,0.490194,1.44064,0.622642,273,0.248182,0.655678,0.314397,0.921787
conj1,10,11,1,0,0.649523,1.35459,0.69,47,0.567771,1.34569,0.680851,266,0.241818,0.684211,0.284301,0.796237
conj1,10,11,1,1,0.838877,1.69328,0.67,47,0.712668,1.59902,0.680851,251,0.228182,0.661355,0.33335,1.0555
conj1,11,11,0,0,0.334655,0.991865,0.66,50,0.349504,0.85763,0.7,280,0.254545,0.707143,0.162639,0.501728
conj1,11,11,0,1,0.617896,1.40348,0.68,50,0.633308,1.14825,0.68,270,0.245455,0.67037,0.223633,0.890584
conj1,11,11,1,0,0.409113,1.40803,0.61,50,0.420916,1.48759,0.56,272,0.247273,0.584559,0.347261,0.893272
conj1,11,11,1,1,0.692354,1.69397,0.67,50,0.703594,1.83919,0.66,278,0.252727,0.633094,0.493935,1.01843
conj1,12,11,0,0,0.416746,0.982979,0.62,49,0.534234,0.902257,0.734694,291,0.264545,0.735395,0.139216,0.709044
conj1,12,11,0,1,0.668739,1.44945,0.67,49,0.764779,1.4537,0.693878,248,0.225455,0.705645,0.293167,1.02682
conj1,12,11,1,0,0.614169,1.48524,0.65,51,0.541368,1.48634,0.627451,270,0.245455,0.633333,0.400501,0.932652
conj1,12,11,1,1,0.866162,1.8271,0.62,51,0.813969,1.88444,0.607843,291,0.264545,0.594502,0.424194,1.22389
conj1,13,11,0,0,0.397298,1.0416,0.62,47,0.536398,1.06723,0.638298,264,0.24,0.606061,0.239128,0.722697
conj1,13,11,0,1,0.667042,1.4836,0.7,47,0.983911,1.41176,0.787234,253,0.23,0.814229,0.203006,1.24368
conj1,13,11,1,0,0.668998,1.36976,0.73,53,0.539165,1.29958,0.698113,287,0.260909,0.710801,0.285555,0.839823
conj1,13,11,1,1,0.938742,1.74785,0.7,53,0.651265,1.77529,0.698113,296,0.269091,0.682432,0.416579,1.08103
conj1,14,11,0,0,0.351628,0.895649,0.66,61,0.310135,0.901408,0.688525,343,0.311818,0.664723,0.279278,0.539705
conj1,14,11,0,1,0.756829,1.40049,0.65,61,0.664006,1.42333,0.606557,328,0.298182,0.588415,0.314481,0.982706
conj1,14,11,1,0,0.535403,1.34598,0.67,39,0.534432,1.41967,0.692308,209,0.19,0.688995,0.371053,0.949291
conj1,14,11,1,1,0.940605,1.74404,0.74,39,1.01992,1.82932,0.794872,220,0.2,0.809091,0.317051,1.36185
conj1,15,11,0,0,0.47104,0.876803,0.63,48,0.562746,0.89804,0.625,263,0.239091,0.638783,0.124312,0.703591
conj1,15,11,0,1,0.718474,1.29833,0.67,48,0.759514,1.36132,0.666667,265,0.240909,0.641509,0.289902,0.951944
conj1,15,11,1,0,0.51273,1.3622,0.68,52,0.330146,1.17985,0.673077,280,0.254545,0.685714,0.355585,0.661747
