n,mu2,tau,sigma,t,mean_unpooled,se_unpooled,mean_pooled,se_pooled,mean_eb,se_eb
50,0,0.1,0.1,153,0.71858509,0.0044585359,7.5520372,0.054949284,1.500102,0.02650557
50,0,0.1,0.1,154,0.72006858,0.0044653389,7.6005794,0.055307233,1.5088363,0.026677488
50,0,0.1,0.1,155,0.72153721,0.004475288,7.6491234,0.055665758,1.5175592,0.026849356
50,0,0.1,0.1,156,0.72298495,0.0044869545,7.6976579,0.056021114,1.526282,0.027021252
50,0,0.1,0.1,157,0.72446035,0.0044984672,7.7461838,0.056374532,1.5350045,0.027193098
50,0,0.1,0.1,158,0.72591066,0.0045137932,7.7948159,0.05673449,1.543727,0.027364972
50,0,0.1,0.1,159,0.72735707,0.0045260272,7.8435196,0.057089501,1.5524428,0.027536839
50,0,0.1,0.1,160,0.72875959,0.0045402237,7.8920577,0.057446895,1.5611583,0.027708887
50,0,0.1,0.1,161,0.73012647,0.0045520408,7.9406513,0.057807001,1.5698701,0.027880715
50,0,0.1,0.1,162,0.73154652,0.004565376,7.9891713,0.058162862,1.5785837,0.028052501
50,0,0.1,0.1,163,0.73301367,0.0045728853,8.0377399,0.058519911,1.5872976,0.028224295
50,0,0.1,0.1,164,0.73439083,0.0045795558,8.0862596,0.058877482,1.5960101,0.028396078
50,0,0.1,0.1,165,0.73580677,0.0045929457,8.1348266,0.059234511,1.6047238,0.028567862
50,0,0.1,0.1,166,0.73717065,0.0046026358,8.1834085,0.059589186,1.6134373,0.028739695
50,0,0.1,0.1,167,0.73846032,0.0046097121,8.231929,0.059947115,1.6221527,0.028911607
50,0,0.1,0.1,168,0.73979764,0.0046205777,8.2805393,0.060307621,1.6308681,0.029083544
50,0,0.1,0.1,169,0.74121145,0.0046307502,8.3291067,0.060665063,1.6395804,0.029255532
50,0,0.1,0.1,170,0.74261283,0.0046421856,8.3777001,0.061019289,1.6482928,0.029427511
50,0,0.1,0.1,171,0.74393444,0.0046532874,8.4263045,0.061377635,1.657005,0.029599584
50,0,0.1,0.1,172,0.74527366,0.00466443,8.4749362,0.061730884,1.6657169,0.029771465
50,0,0.1,0.1,173,0.74660326,0.0046752586,8.5234725,0.062086835,1.6744249,0.029943248
50,0,0.1,0.1,174,0.7478321,0.004687038,8.572087,0.062441759,1.6831343,0.030115071
50,0,0.1,0.1,175,0.74915571,0.0046983305,8.6206656,0.062798639,1.6918455,0.030287049
50,0,0.1,0.1,176,0.75044995,0.0047125405,8.6692123,0.06315657,1.7005568,0.030458862
50,0,0.1,0.1,177,0.75176761,0.0047227995,8.7177938,0.063507743,1.7092671,0.030630761
50,0,0.1,0.1,178,0.7530652,0.0047354704,8.7664301,0.063865802,1.7179774,0.030802698
50,0,0.1,0.1,179,0.75439445,0.0047464302,8.8150302,0.064223991,1.726691,0.030974672
50,0,0.1,0.1,180,0.75563622,0.0047573186,8.8635869,0.064579535,1.7354044,0.03114652
50,0,0.1,0.1,181,0.75688198,0.0047710288,8.9120854,0.064933807,1.744117,0.031318411
50,0,0.1,0.1,182,0.75811545,0.004783133,8.960584,0.065289986,1.7528313,0.031490326
50,0,0.1,0.1,183,0.75937823,0.0047959204,9.0091028,0.065647299,1.7615432,0.031662366
50,0,0.1,0.1,184,0.76051674,0.0048117259,9.0576642,0.06599692,1.7702539,0.031834378
50,0,0.1,0.1,185,0.76165201,0.0048217774,9.1061891,0.066353958,1.7789609,0.03200639
50,0,0.1,0.1,186,0.76293573,0.004828166,9.1548749,0.066712796,1.7876676,0.03217845
50,0,0.1,0.1,187,0.76415443,0.0048404228,9.2034212,0.067067532,1.7963725,0.032350807
50,0,0.1,0.1,188,0.76534238,0.0048499505,9.251978,0.067426216,1.8050774,0.032523243
50,0,0.1,0.1,189,0.76661833,0.0048617052,9.3004979,0.067782321,1.8137821,0.032695658
50,0,0.1,0.1,190,0.76790259,0.0048685242,9.3490607,0.068133511,1.822475,0.032867517
50,0,0.1,0.1,191,0.76907809,0.0048784851,9.3976863,0.068485086,1.831168,0.033039379
